Company Name,Founded Year,HQ,Industry,Total Funding,ARR,Valuation,Employees,Top Investors,Product,G2 Rating
Microsoft,1975,"Redmond, WA, USA",Enterprise Software,$1B,$270B,$3T,"221,000","Bill Gates, Paul Allen","Azure, Office 365, Teams",4.4
Salesforce,1999,"San Francisco, CA, USA",CRM,$65.4M,$37.9B,$227.8B,"75,000","Halsey Minor, Larry Ellison","Sales Cloud, Service Cloud",4.3
Adobe,1982,"San Jose, CA, USA",Creative Software,$2.5M,$19.4B,$240B,"29,945",Hambrecht & Quist,"Creative Cloud, Document Cloud",4.5
Oracle,1977,"Austin, TX, USA",Database & Enterprise,$2K,$52.9B,$350B,"143,000","Larry Ellison, Bob Miner","Oracle Cloud, NetSuite",4.0
SAP,1972,"Walldorf, Germany",Enterprise Software,N/A,$32.5B,$215B,"107,415","Dietmar Hopp, Klaus Tschira","S/4HANA, SuccessFactors",4.1
Intuit,1983,"Mountain View, CA, USA",Financial Software,$273M,$14.4B,$180B,"18,200","Sierra Ventures, Kleiner Perkins","QuickBooks, TurboTax",4.4
ServiceNow,2004,"Santa Clara, CA, USA",IT Service Management,$82.5M,$8.9B,$147B,"20,000","JMI Equity, Sequoia Capital",IT Service Management Platform,4.4
Workday,2005,"Pleasanton, CA, USA",HR & Finance,$249.9M,$7.3B,$65B,"18,800","Greylock Partners, NEA","HCM, Financial Management",4.2
Zoom,2011,"San Jose, CA, USA",Video Communications,$145.5M,$4.5B,$85B,"7,388","Sequoia Capital, Emergence",Video Conferencing Platform,4.5
Shopify,2006,"Ottawa, Canada",E-commerce,$122.3M,$7.1B,$95B,"11,600","Bessemer, FirstMark, Felicis",E-commerce Platform,4.4
Atlassian,2002,"Sydney, Australia",Collaboration Software,$60M,$3.5B,$55B,"11,800",Accel Partners,"Jira, Confluence, Trello",4.3
Snowflake,2012,"Bozeman, MT, USA",Data Warehousing,$1.4B,$2.8B,$75B,"6,500","Sequoia, ICONIQ, Altimeter",Cloud Data Platform,4.4
HubSpot,2006,"Cambridge, MA, USA",Marketing & Sales,$100.5M,$2.2B,$32B,"7,600","General Catalyst, Google Ventures","Marketing Hub, Sales Hub",4.4
DocuSign,2003,"San Francisco, CA, USA",Digital Agreements,$514.3M,$2.5B,$10B,"7,336","Kleiner Perkins, Accel","eSignature, Contract Lifecycle",4.5
Slack,2009,"San Francisco, CA, USA",Team Communication,$1.4B,$1.7B,$27.7B (Salesforce),"2,545","Accel, Andreessen Horowitz",Team Messaging Platform,4.5
Notion,2013,"San Francisco, CA, USA",Productivity,$353M,$400M,$10B,800,"Index Ventures, Sequoia",All-in-one workspace,4.7
Datadog,2010,"New York, NY, USA",Monitoring & Analytics,$147.9M,$2.1B,$44B,"5,200","ICONIQ, Index Ventures",Infrastructure Monitoring,4.4
MongoDB,2007,"New York, NY, USA",Database,$311.2M,$1.7B,$26B,"4,500","Sequoia, NEA, USV",Document Database Platform,4.5
Okta,2009,"San Francisco, CA, USA",Identity Management,$230.5M,$2.2B,$25B,"5,900","Andreessen Horowitz, Greylock",Identity & Access Management,4.4
Twilio,2008,"San Francisco, CA, USA",Communications,$261.3M,$4.1B,$12B,"7,867","Bessemer, Union Square",Communications APIs,4.3
Stripe,2010,"San Francisco, CA, USA",Payments,$8.7B,$14B,$65B,"8,000","Sequoia, Andreessen Horowitz",Payment Processing Platform,4.4
Square,2009,"San Francisco, CA, USA",Payments,$590.5M,$19.7B,$85B,"8,500","Khosla Ventures, Sequoia",Payment & POS Solutions,4.2
Palantir,2003,"Denver, CO, USA",Data Analytics,$2.6B,$2.2B,$52B,"3,500","Founders Fund, In-Q-Tel",Data Integration Platform,4.0
Canva,2013,"Sydney, Australia",Design,$572.6M,$2B,$40B,"3,500","Sequoia, Bessemer, Bond",Design Platform,4.7
Monday.com,2012,"Tel Aviv, Israel",Work Management,$234.1M,$736M,$14B,"1,900","Sapphire Ventures, Insight",Work OS Platform,4.6
Asana,2008,"San Francisco, CA, USA",Work Management,$453.2M,$652M,$5.5B,"1,600","Benchmark, Founders Fund",Work Management Platform,4.3
Airtable,2012,"San Francisco, CA, USA",Database/Spreadsheet,$735.1M,$500M,$11B,900,"Benchmark, Thrive Capital",Low-code Database Platform,4.6
Figma,2012,"San Francisco, CA, USA",Design,$332.9M,$600M,$20B (Adobe),"1,300","Index Ventures, Greylock",Collaborative Design Tool,4.7
GitLab,2011,"San Francisco, CA, USA",DevOps,$435.6M,$580M,$8B,"2,300","ICONIQ, Goldman Sachs",DevOps Platform,4.5
Zendesk,2007,"San Francisco, CA, USA",Customer Service,$85.5M,$1.9B,$13.2B,"6,000","Benchmark, Matrix Partners",Customer Service Platform,4.3
Box,2005,"Redwood City, CA, USA",Cloud Storage,$562.4M,$1B,$3.5B,"2,800","DFJ, NEA, Bessemer",Cloud Content Management,4.2
Dropbox,2008,"San Francisco, CA, USA",Cloud Storage,$1.7B,$2.5B,$8.5B,"2,700","Sequoia, Accel, Index",Cloud Storage & Collaboration,4.4
Freshworks,2010,"San Mateo, CA, USA",Customer Engagement,$484.7M,$596M,$5.2B,"5,000","Accel, Sequoia Capital India",Customer Engagement Suite,4.4
Klaviyo,2012,"Boston, MA, USA",Marketing Automation,$778.2M,$698M,$9.5B,"1,500","Summit Partners, Accel",Email & SMS Marketing,4.6
